ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00093355,134,131,1,0,0,0,0,0,2,0,0,132,0,2,0,0
S00093356,83,83,0,0,0,0,0,0,0,0,0,83,0,0,0,0
S00093357,109,109,0,0,0,0,0,0,0,0,0,109,0,0,0,0
S00093358,103,103,0,0,0,0,0,0,0,0,0,103,0,0,0,0
S00093359,89,89,0,0,0,0,0,0,0,0,0,89,0,0,0,0
S00093360,93,93,0,0,0,0,0,0,0,0,0,93,0,0,0,0
S00093361,103,101,1,0,1,0,0,0,0,0,0,102,0,1,0,0
S00093362,138,137,0,0,0,0,0,0,0,0,1,137,0,0,0,1
S00093363,92,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0
S00093364,65,65,0,0,0,0,0,0,0,0,0,65,0,0,0,0
S00093365,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0
S00093366,150,150,0,0,0,0,0,0,0,0,0,150,0,0,0,0
S00093367,57,57,0,0,0,0,0,0,0,0,0,57,0,0,0,0
S00093368,107,102,0,0,0,4,0,1,0,0,0,102,0,5,0,0
S00093369,63,63,0,0,0,0,0,0,0,0,0,63,0,0,0,0
S00093370,118,115,0,1,0,0,0,0,2,0,0,115,0,2,1,0
S00093371,90,90,0,0,0,0,0,0,0,0,0,90,0,0,0,0
S00093372,112,112,0,0,0,0,0,0,0,0,0,112,0,0,0,0
S00093373,53,53,0,0,0,0,0,0,0,0,0,53,0,0,0,0
