rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_presbyterian_church_in_ireland,rel..religion_church_of_ireland,rel..religion_methodist_church_in_ireland,rel..religion_other_christian_including_christian_related,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
N00000892,318,185,34,24,11,4,0,49,11
N00000893,284,111,24,16,3,8,18,77,27
N00000894,263,118,10,14,1,10,5,69,36
N00000895,272,92,35,23,2,23,9,64,24
N00000896,265,133,16,11,5,6,1,55,38
N00000897,300,127,18,11,2,5,7,90,40
N00000898,307,132,20,18,3,7,5,101,21
N00000899,306,139,24,17,4,8,7,71,36
N00000900,216,40,22,23,20,15,0,55,41
N00000901,313,152,11,11,2,13,4,88,32
N00000902,294,141,16,19,3,16,3,71,25
N00000903,206,19,20,14,4,18,16,82,33
N00000904,446,144,43,41,22,11,8,137,40
N00000905,325,108,29,29,3,12,16,77,51
N00000957,555,42,185,126,29,42,3,104,24
N00000958,294,16,89,60,18,23,5,58,25
N00000959,476,13,119,105,49,73,4,89,24
N00000960,515,42,187,77,25,56,5,110,13
N00000961,311,13,104,67,21,38,7,46,15
N00000962,338,28,86,80,20,26,0,69,29
N00000963,252,17,83,38,21,22,0,51,20
N00000964,297,11,74,69,36,45,5,42,15
N00000965,300,11,86,64,34,41,2,52,10
N00000966,331,22,95,68,32,32,0,67,15
N00000967,378,44,117,57,28,34,7,78,13
N00000968,255,8,74,50,21,28,1,54,19
N00000969,193,17,53,54,8,12,4,29,16
N00000970,486,46,120,112,24,35,6,99,44
N00000971,261,6,91,79,11,14,0,40,20
N00000972,317,9,88,97,23,30,2,51,17
N00000973,331,32,81,64,21,39,2,60,32
N00000974,275,15,76,66,29,27,1,52,9
N00000991,269,28,62,58,9,15,4,55,38
N00000992,462,40,97,75,21,44,3,123,59
N00000993,236,9,48,38,4,23,3,53,58
N00000994,928,99,217,174,34,58,7,210,129
N00000995,195,10,44,47,12,21,0,38,23
N00000996,383,49,109,60,27,36,3,77,22
N00000997,271,33,55,40,19,51,4,47,22
N00000998,304,36,70,49,24,26,10,71,18
N00000999,227,20,49,41,19,11,3,50,34
N00001000,307,23,73,51,28,50,1,55,26
N00001001,296,44,60,24,17,40,13,59,39
N00001002,796,109,163,137,47,79,8,153,100
N00001003,218,13,53,47,5,26,1,57,16
N00001004,303,43,76,29,10,38,9,75,23
N00001005,258,28,56,48,11,25,2,61,27
N00001061,341,22,119,67,27,36,2,54,14
N00001062,354,56,95,88,18,35,3,50,9
N00001063,306,24,110,54,20,26,6,59,7
N00001064,632,90,219,80,44,42,1,133,23
N00001065,326,54,124,50,16,16,0,57,9
N00001066,275,17,107,48,14,16,1,60,12
N00001067,278,25,87,70,24,18,1,40,13
N00001068,336,52,76,45,21,49,5,71,17
N00001069,327,46,90,41,20,29,2,87,12
N00001070,518,55,162,82,36,36,10,114,23
N00001071,318,45,81,53,10,11,0,98,20
N00001072,320,30,120,49,20,45,0,44,12
N00001073,283,11,93,58,5,26,3,52,35
N00001074,240,11,93,32,18,23,3,44,16
N00001075,308,25,104,54,23,22,3,51,26
N00001076,272,21,59,67,20,26,1,49,29
N00001077,229,16,79,55,13,20,1,29,16
N00001078,257,53,69,51,12,13,3,38,18
N00001174,343,182,33,33,3,29,6,41,16
N00001263,289,15,67,54,36,24,0,76,17
N00001264,204,33,52,38,9,25,3,23,21
N00001265,971,117,186,158,57,60,122,188,83
N00001266,188,4,51,47,19,11,0,24,32
N00001267,322,5,96,95,23,30,2,34,37
N00001268,283,7,69,90,42,13,2,32,28
N00001269,522,66,96,77,35,42,14,129,63
N00001270,278,20,72,57,28,18,4,62,17
N00001271,1514,188,311,301,81,123,50,318,142
N00001272,222,24,49,43,9,22,3,47,25
N00001273,221,19,52,43,5,27,2,57,16
N00001274,238,3,88,60,19,19,1,33,15
N00001275,210,8,67,55,12,20,0,32,16
N00001276,218,1,88,30,13,13,3,44,26
N00001277,266,15,82,50,39,20,6,40,14
N00001278,291,44,89,35,10,24,1,74,14
N00001279,168,9,61,30,13,8,1,36,10
N00001280,213,2,84,47,13,7,1,40,19
N00001281,334,46,96,42,25,35,5,54,31
N00001282,330,36,87,61,18,25,8,88,7
N00001283,338,51,113,47,25,23,0,69,10
N00001284,352,33,81,61,18,64,2,79,14
N00001285,331,17,89,67,22,37,2,75,22
N00001286,348,13,70,67,63,58,8,43,26
N00001287,295,10,66,54,39,53,0,59,14
N00001288,289,4,71,51,53,40,2,57,11
N00001289,288,8,76,45,46,31,7,41,34
N00001290,318,3,93,53,61,40,2,55,11
N00001363,263,7,74,44,30,18,4,68,18
N00001364,539,83,114,64,56,39,8,128,47
N00001365,387,56,104,60,31,34,6,73,23
N00001366,252,30,46,44,27,14,1,66,24
N00001367,353,19,102,51,29,24,3,83,42
N00001368,295,22,105,53,13,38,4,48,12
N00001369,365,29,115,66,31,30,3,65,26
N00001370,369,22,101,54,31,50,7,81,23
N00001371,313,32,121,35,14,29,0,75,7
N00001372,584,39,187,120,45,67,9,111,6
N00001373,293,20,86,51,14,37,6,71,8
N00001374,297,5,88,66,27,33,1,70,7
N00001375,338,18,89,61,33,51,7,55,24
N00001376,191,15,43,32,18,30,4,43,6
N00001377,276,10,112,34,24,27,1,53,15
N00001378,258,26,77,35,12,35,4,59,10
N00001379,246,28,68,41,23,33,1,45,7
N00001380,381,170,26,16,9,6,6,95,53
N00001381,395,160,38,16,9,26,9,113,24
N00001382,316,148,37,30,22,7,0,63,9
N00001383,344,157,52,46,3,9,5,64,8
N00001384,287,64,37,55,13,29,0,77,12
N00001385,359,204,29,32,3,8,3,57,23
N00001386,532,105,97,41,19,43,7,144,76
N00001387,263,71,29,23,26,18,8,80,8
N00001388,270,21,71,46,22,33,6,47,24
N00001389,188,47,17,24,10,8,5,56,21
N00001390,287,67,50,30,27,21,5,68,19
N00001391,286,56,47,43,35,21,9,52,23
N00001392,263,82,57,36,8,11,6,43,20
N00001393,269,124,23,19,6,9,8,64,16
N00001394,284,74,27,46,17,15,3,85,17
N00001395,277,52,59,29,18,29,6,76,8
N00001396,607,242,65,52,17,19,14,153,45
N00001397,183,31,33,28,19,17,3,38,14
N00001398,250,59,29,41,24,15,6,69,7
N00001399,889,488,85,66,16,35,12,135,52
N00001400,330,157,32,33,12,17,5,59,15
N00001401,851,270,109,84,29,52,30,225,52
N00001402,652,365,36,51,9,26,22,92,51
N00001403,377,218,18,9,6,7,8,101,10
N00001404,706,396,57,36,6,39,15,115,42
N00001405,235,41,38,67,18,15,1,37,18
N00001406,216,52,30,49,10,12,9,33,21
N00001407,256,146,12,7,2,5,2,63,19
N00001408,467,249,39,29,10,10,4,96,30
N00001409,292,187,14,9,0,9,2,65,6
N00001410,294,204,27,11,4,4,0,35,9
N00001411,280,192,25,13,6,0,3,35,6
N00001412,164,80,18,8,7,5,2,29,15
N00001413,277,157,16,10,14,9,5,48,18
N00001414,278,175,21,22,10,7,2,36,5
N00001445,371,16,137,82,24,27,1,78,6
N00001446,304,17,117,45,17,28,2,54,24
N00001447,315,12,116,81,21,29,3,41,12
N00001448,350,35,132,58,22,33,4,47,19
N00001449,323,31,120,54,10,27,1,70,10
N00001450,263,16,94,48,24,25,3,47,6
N00001451,248,43,80,45,8,16,12,33,11
N00001452,324,33,106,61,19,13,0,72,20
N00001453,372,31,146,71,22,31,0,57,14
N00001454,319,17,113,56,17,29,3,65,19
N00001455,261,28,53,46,11,20,6,67,30
N00001456,334,26,125,54,22,20,1,74,12
