health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
N00001370,369,160,104,86,17,2
N00001371,313,171,93,38,8,3
N00001372,584,273,199,89,20,3
N00001373,293,149,104,35,4,1
N00001374,297,154,104,29,9,1
N00001375,338,131,112,70,21,4
N00001376,191,78,74,36,1,2
N00001377,276,130,92,46,8,0
N00001378,258,127,99,31,1,0
N00001379,246,111,89,38,8,0
N00001380,381,202,131,37,10,1
N00001381,395,226,132,26,10,1
N00001382,316,178,105,31,1,1
N00001383,344,176,93,52,17,6
N00001384,287,143,105,32,6,1
N00001385,359,223,96,28,7,5
N00001386,532,274,154,88,13,3
N00001387,263,126,90,41,4,2
N00001388,270,80,98,71,16,5
N00001389,188,90,64,25,9,0
N00001390,287,147,89,44,7,0
N00001391,286,170,88,23,3,2
N00001392,263,113,90,41,16,3
N00001393,269,169,72,22,4,2
N00001394,284,155,87,31,9,2
N00001395,277,130,95,44,7,1
N00001396,607,363,192,41,10,1
N00001397,183,65,61,42,14,1
N00001398,250,123,78,35,9,5
N00001399,889,511,251,106,17,4
N00001400,330,199,94,32,3,2
N00001401,851,453,248,116,27,7
N00001402,652,401,178,55,16,2
N00001403,377,203,118,49,6,1
N00001404,706,342,194,127,35,8
N00001405,235,91,74,53,13,4
N00001406,216,101,60,47,7,1
N00001407,256,134,73,38,7,4
N00001408,467,260,155,45,7,0
N00001409,292,175,77,34,6,0
N00001410,294,161,95,29,6,3
N00001411,280,146,97,29,6,2
N00001412,164,58,49,42,13,2
N00001413,277,150,91,30,5,1
N00001414,278,154,86,31,7,0
N00001445,371,216,104,41,9,1
N00001446,304,154,97,41,9,3
N00001447,315,134,96,56,18,11
N00001448,350,194,114,37,3,2
N00001449,323,170,123,26,3,1
N00001450,263,127,100,31,3,2
N00001451,248,122,68,47,9,2
N00001452,324,180,117,22,3,2
N00001453,372,192,147,27,2,4
N00001454,319,182,95,37,3,2
N00001455,261,151,82,18,8,2
N00001456,334,183,110,35,6,0
N00001457,318,179,103,26,7,3
N00001458,376,161,96,77,28,14
N00001459,471,258,146,53,10,4
N00001460,599,301,168,91,31,8
N00001480,477,136,144,140,42,15
N00001481,229,79,58,56,26,10
N00001482,307,136,113,41,15,2
N00001483,254,125,69,39,15,6
N00001484,213,88,68,40,12,5
N00001485,248,105,91,37,15,0
N00001486,358,160,126,58,13,1
N00001487,298,111,115,44,21,7
N00001488,277,122,103,37,11,4
N00001489,293,130,90,52,17,4
N00001490,196,81,70,29,11,5
N00001491,250,86,72,63,21,8
N00001492,226,91,76,36,17,6
N00001493,260,127,92,31,7,3
N00001494,198,98,62,26,12,0
N00001495,288,114,103,56,10,5
N00001496,266,112,108,35,9,2
N00001497,236,115,82,33,4,2
N00001498,460,176,157,81,40,6
N00001499,335,122,124,63,23,3
N00001500,214,57,82,55,16,4
N00001501,497,187,133,123,42,12
N00001502,409,181,128,61,33,6
N00001503,204,57,62,57,21,7
N00001504,272,105,80,53,30,4
N00001505,473,210,167,66,25,5
N00001506,239,100,72,41,18,8
N00001507,254,90,80,53,23,8
N00001508,466,216,142,72,28,8
N00001509,385,123,120,89,38,15
N00001510,215,90,77,32,12,4
N00001511,638,255,190,128,48,17
N00001512,294,143,89,48,11,3
