health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00135075,92,49,31,10,1,1
S00135076,127,62,48,16,1,0
S00135077,103,55,28,15,4,1
S00135153,70,40,17,10,2,1
S00135154,144,77,47,14,6,0
S00135155,83,43,24,11,4,1
S00135156,89,44,29,12,4,0
S00135157,133,65,47,18,2,1
S00135158,118,67,31,16,3,1
S00135159,51,28,15,4,3,1
S00135160,126,63,42,16,4,1
S00135161,134,76,37,16,4,1
S00135248,159,85,50,18,6,0
S00135287,55,25,26,4,0,0
S00135288,168,96,37,29,4,2
S00135082,144,73,41,26,3,1
S00135083,122,65,39,12,5,1
S00135084,77,40,24,9,2,2
S00135085,105,67,28,8,1,1
S00135260,74,51,16,5,1,1
S00135302,128,68,41,17,1,1
S00135303,81,44,22,13,1,1
S00135078,81,31,35,11,3,1
S00135079,88,47,24,10,5,2
S00135080,109,43,38,25,2,1
S00135081,66,37,19,8,2,0
S00135086,78,42,22,11,1,2
S00135087,108,50,38,19,0,1
S00135088,56,36,14,5,1,0
S00135089,72,44,15,11,2,0
S00135090,89,56,24,9,0,0
S00135261,60,32,21,5,2,0
S00135304,81,49,17,12,2,1
S00135094,72,44,16,9,3,0
S00135095,59,21,27,8,2,1
S00135096,75,29,25,16,5,0
S00135097,62,32,19,9,2,0
S00135098,85,49,22,11,3,0
S00135099,101,60,28,10,3,0
S00135100,181,100,55,21,5,0
S00135262,116,62,31,16,5,2
S00135305,98,41,36,15,5,1
S00135306,87,44,29,13,1,0
S00135091,115,50,36,17,8,4
S00135092,111,58,29,20,4,0
S00135093,94,62,21,9,1,1
S00135101,103,48,34,13,6,2
S00135102,102,51,29,18,4,0
S00135264,67,31,16,13,6,1
S00135269,105,50,36,16,0,3
S00135270,71,36,24,10,1,0
S00135271,122,61,38,19,2,2
S00135272,90,63,14,8,4,1
S00135105,50,23,16,9,1,1
S00135106,69,40,20,7,2,0
S00135107,89,42,20,23,3,1
S00135108,105,51,27,19,7,1
S00135109,141,80,40,16,4,1
S00135110,137,77,39,18,3,0
S00135111,111,57,36,13,5,0
S00135112,106,60,34,10,1,1
S00135113,110,54,31,21,2,2
S00135103,140,75,36,21,6,2
S00135104,91,46,25,18,1,1
S00135114,159,77,49,24,7,2
S00135115,93,52,20,18,1,2
S00135116,76,31,27,13,5,0
S00135265,132,68,39,16,8,1
S00135273,147,76,32,25,12,2
S00135274,54,31,17,2,2,2
S00135118,124,53,43,21,6,1
S00135119,66,31,20,14,0,1
S00135120,124,73,30,17,4,0
S00135121,113,55,41,11,5,1
S00135122,94,57,20,15,1,1
S00135123,152,77,40,20,10,5
S00135124,100,36,32,22,9,1
S00135117,111,55,36,13,4,3
S00135125,109,54,35,13,4,3
S00135126,125,74,26,21,4,0
S00135133,77,43,18,11,4,1
S00135134,74,42,21,8,2,1
S00135127,138,67,43,21,4,3
S00135132,154,72,43,31,7,1
S00135135,94,54,25,7,6,2
S00135136,94,54,27,11,2,0
S00135245,70,32,18,14,2,4
S00135275,71,39,19,7,4,2
S00135128,125,66,29,26,4,0
S00135129,81,40,24,11,6,0
S00135130,139,68,42,25,1,3
S00135131,106,58,30,13,5,0
S00135137,142,79,44,13,2,4
S00135276,140,71,38,25,6,0
S00135138,109,54,31,19,3,2
S00135139,82,38,27,12,4,1
S00135140,127,55,33,33,6,0
S00135279,125,62,41,18,4,0
S00135280,118,53,36,26,3,0
S00135281,147,79,40,19,9,0
S00135282,53,26,15,11,1,0
S00135141,127,68,45,13,1,0
S00135142,72,42,18,12,0,0
S00135238,152,65,55,27,3,2
S00135259,100,55,24,15,6,0
S00135277,153,74,39,27,10,3
S00135278,56,32,12,10,2,0
S00135239,99,56,29,11,2,1
S00135240,104,52,35,13,3,1
S00135241,102,51,26,17,8,0
S00135242,76,36,25,13,1,1
S00135243,93,58,16,18,1,0
S00135244,91,49,22,15,3,2
S00135300,178,100,46,22,5,5
S00135301,52,21,16,8,7,0
S00135150,208,140,48,17,1,2
S00135246,131,65,40,20,4,2
S00135247,97,47,25,20,4,1
S00135285,67,47,15,1,3,1
S00135286,206,100,58,32,10,6
S00135221,97,56,21,15,4,1
S00135222,106,70,20,13,3,0
S00135223,167,91,43,21,11,1
S00135224,138,89,28,16,4,1
S00135225,63,43,11,6,2,1
S00135226,256,147,71,27,8,3
S00135258,103,63,19,12,8,1
S00135149,132,104,15,10,1,2
S00135227,168,127,24,9,8,0
S00135228,143,91,40,9,3,0
S00135229,121,59,42,11,8,1
S00135230,54,26,16,6,5,1
S00135231,234,134,57,35,4,4
S00135232,107,65,25,12,4,1
S00135233,115,64,35,12,2,2
S00135172,149,105,27,12,5,0
S00135173,177,124,41,9,3,0
S00135250,141,88,38,13,1,1
S00135251,96,53,26,13,3,1
S00135289,181,109,56,12,2,2
S00135290,149,86,36,19,5,3
S00135174,165,91,47,20,4,3
S00135175,78,54,15,8,0,1
S00135194,139,76,31,25,3,4
