ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00094257,130,127,1,0,0,1,0,0,0,0,1,128,0,1,0,1
S00094258,109,109,0,0,0,0,0,0,0,0,0,109,0,0,0,0
S00094259,130,130,0,0,0,0,0,0,0,0,0,130,0,0,0,0
S00094261,59,59,0,0,0,0,0,0,0,0,0,59,0,0,0,0
S00094623,56,56,0,0,0,0,0,0,0,0,0,56,0,0,0,0
S00094624,122,122,0,0,0,0,0,0,0,0,0,122,0,0,0,0
S00094749,87,86,0,0,0,0,0,0,1,0,0,86,0,1,0,0
S00094019,58,58,0,0,0,0,0,0,0,0,0,58,0,0,0,0
S00094020,128,128,0,0,0,0,0,0,0,0,0,128,0,0,0,0
S00094021,75,74,0,0,0,0,0,0,1,0,0,74,0,1,0,0
S00094022,136,136,0,0,0,0,0,0,0,0,0,136,0,0,0,0
S00094023,90,90,0,0,0,0,0,0,0,0,0,90,0,0,0,0
S00094633,66,66,0,0,0,0,0,0,0,0,0,66,0,0,0,0
S00094686,108,106,0,1,0,0,0,0,1,0,0,106,0,1,1,0
S00094687,110,110,0,0,0,0,0,0,0,0,0,110,0,0,0,0
S00094688,120,119,0,1,0,0,0,0,0,0,0,119,0,0,1,0
S00094689,56,56,0,0,0,0,0,0,0,0,0,56,0,0,0,0
S00094015,125,124,0,0,0,0,0,0,0,1,0,124,1,0,0,0
S00094016,124,124,0,0,0,0,0,0,0,0,0,124,0,0,0,0
S00094017,62,62,0,0,0,0,0,0,0,0,0,62,0,0,0,0
S00094018,157,157,0,0,0,0,0,0,0,0,0,157,0,0,0,0
S00094631,58,55,0,2,0,0,0,1,0,0,0,55,0,1,2,0
S00094685,116,115,0,0,0,0,0,0,0,0,1,115,0,0,0,1
S00094690,72,71,0,0,0,0,0,0,1,0,0,71,0,1,0,0
S00094024,78,72,0,2,0,0,0,0,4,0,0,72,0,4,2,0
S00094025,143,139,0,1,3,0,0,0,0,0,0,139,0,3,1,0
S00094027,141,137,0,0,1,0,0,1,0,2,0,137,2,2,0,0
S00094028,54,53,0,0,0,0,0,1,0,0,0,53,0,1,0,0
S00094029,116,113,0,0,0,0,0,3,0,0,0,113,0,3,0,0
S00094030,145,145,0,0,0,0,0,0,0,0,0,145,0,0,0,0
S00094031,126,125,0,1,0,0,0,0,0,0,0,125,0,0,1,0
S00093997,68,68,0,0,0,0,0,0,0,0,0,68,0,0,0,0
S00094013,163,162,1,0,0,0,0,0,0,0,0,163,0,0,0,0
S00094014,167,166,0,0,0,0,0,1,0,0,0,166,0,1,0,0
S00094331,137,130,0,2,0,0,0,0,1,4,0,130,4,1,2,0
S00094332,110,108,2,0,0,0,0,0,0,0,0,110,0,0,0,0
S00094683,164,163,0,1,0,0,0,0,0,0,0,163,0,0,1,0
S00094684,82,82,0,0,0,0,0,0,0,0,0,82,0,0,0,0
S00094333,162,158,0,3,0,0,0,0,1,0,0,158,0,1,3,0
S00094334,124,124,0,0,0,0,0,0,0,0,0,124,0,0,0,0
S00094754,110,110,0,0,0,0,0,0,0,0,0,110,0,0,0,0
S00094755,83,82,0,0,0,0,0,0,0,1,0,82,1,0,0,0
S00094756,55,55,0,0,0,0,0,0,0,0,0,55,0,0,0,0
S00094293,111,109,0,0,0,0,0,0,0,2,0,109,2,0,0,0
S00094294,80,78,1,0,0,0,0,0,0,0,1,79,0,0,0,1
S00094295,163,163,0,0,0,0,0,0,0,0,0,163,0,0,0,0
S00094296,89,83,0,1,0,0,0,5,0,0,0,83,0,5,1,0
S00094297,81,79,0,0,0,0,0,0,0,0,2,79,0,0,0,2
S00094298,80,79,1,0,0,0,0,0,0,0,0,80,0,0,0,0
S00094299,166,165,0,1,0,0,0,0,0,0,0,165,0,0,1,0
S00094330,65,65,0,0,0,0,0,0,0,0,0,65,0,0,0,0
S00094632,60,60,0,0,0,0,0,0,0,0,0,60,0,0,0,0
S00094750,74,68,0,0,0,0,0,0,5,1,0,68,1,5,0,0
S00094751,74,73,0,1,0,0,0,0,0,0,0,73,0,0,1,0
S00094301,151,149,0,1,0,0,0,0,0,1,0,149,1,0,1,0
S00094326,65,65,0,0,0,0,0,0,0,0,0,65,0,0,0,0
