rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00094225,126,65,13,3,0,0,0,0,0,0,31,14
S00094226,93,43,15,1,0,0,0,0,0,0,23,11
S00094613,56,13,12,6,1,0,0,0,0,2,21,1
S00094737,110,51,23,4,0,0,0,0,0,0,27,5
S00094203,60,24,11,2,0,0,0,0,0,0,18,5
S00094204,101,41,18,1,0,0,0,0,0,0,29,12
S00094205,115,50,21,9,0,0,0,0,0,0,28,7
S00094206,108,35,18,0,0,0,0,0,0,1,45,9
S00094207,146,44,16,10,1,0,0,0,0,2,66,7
S00094208,80,34,19,0,0,0,0,0,0,0,26,1
S00094209,130,37,18,5,0,0,0,0,0,0,54,16
S00094210,135,52,24,9,0,0,0,0,0,2,43,5
S00094211,82,21,18,3,1,0,0,0,0,0,37,2
S00094212,110,25,23,2,0,0,0,0,0,0,50,10
S00094213,52,22,20,4,0,0,0,0,0,0,4,2
S00094214,128,50,13,10,0,0,0,0,0,4,41,10
S00094215,67,28,9,4,0,0,0,0,0,1,18,7
S00094216,133,45,16,11,0,0,0,0,0,2,41,18
S00094738,50,21,6,1,1,0,0,0,0,3,17,1
S00094739,132,51,18,5,0,0,0,0,0,1,43,14
S00093999,104,49,5,6,0,1,0,0,0,1,34,8
S00094000,72,25,9,8,2,0,0,0,0,0,21,7
S00094001,50,27,3,4,0,0,0,0,0,0,11,5
S00094002,55,22,4,1,0,0,0,0,0,0,24,4
S00094003,64,31,2,2,0,0,0,0,0,0,25,4
S00094004,87,46,7,2,0,0,0,1,0,0,23,8
S00094005,96,48,2,9,0,0,0,0,0,0,27,10
S00094006,130,53,7,9,0,0,0,0,0,0,48,13
S00094007,119,24,17,18,0,0,0,0,0,2,52,6
S00094008,177,72,8,12,0,1,0,0,0,0,63,21
S00094009,59,37,4,0,1,0,0,0,0,0,10,7
S00094010,51,23,9,1,0,0,0,0,0,0,12,6
S00094026,92,45,8,1,0,0,0,0,0,1,25,12
S00094255,128,47,12,8,0,0,0,1,0,0,48,12
S00094260,87,32,8,11,0,0,0,0,0,0,25,11
S00094612,78,43,9,1,0,0,0,0,0,0,12,13
S00094614,76,21,6,6,4,0,0,0,0,0,37,2
S00094615,155,40,12,18,2,0,0,1,0,0,72,10
S00094618,118,56,19,8,0,0,0,0,0,0,28,7
S00094256,93,42,13,7,1,0,0,0,0,0,21,9
S00094257,130,50,18,8,0,0,0,2,0,0,42,10
S00094258,109,37,13,6,2,0,0,0,0,1,38,12
S00094259,130,57,20,9,0,0,0,0,0,1,30,13
