rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00110379,1.0000000000028899,116,29,7,1,0,0,0,0,0,0,70,9
S00110380,1.0000000000057301,110,33,4,4,0,0,0,0,0,1,60,8
S00110381,0.57798581514887903,151,41,12,0,1,0,0,0,0,1,92,4
S00110382,0.99999999999424305,101,38,6,6,0,0,0,0,0,2,44,5
S00110383,0.99999999999829203,82,23,0,8,0,0,0,1,0,0,39,11
S00110384,1.0000000000036999,95,49,2,4,0,0,0,0,0,0,27,13
S00110385,0.99999999999914801,128,54,10,6,0,0,0,0,0,0,56,2
S00110386,0.99999999960281805,120,55,6,8,0,0,0,0,0,0,45,6
S00110387,0.99999999998410405,98,39,11,0,0,0,0,0,0,0,37,11
S00110388,1.0000000000000999,100,33,12,0,0,0,0,0,0,1,52,2
S00110389,0.99999999994931099,82,29,7,3,0,0,0,0,0,0,40,3
S00110390,0.99999999999660205,132,28,5,7,0,0,0,5,0,0,79,8
S00110391,1.00000000000474,86,29,8,4,0,0,0,0,0,1,38,6
S00110392,1.0000000001723599,145,33,5,0,0,0,0,8,0,0,83,16
S00110393,1.0000000000048801,118,36,6,2,0,0,0,0,0,2,69,3
S00110394,1.0000000000025799,134,57,8,8,0,0,0,0,0,0,49,12
S00110395,1.00000000000081,151,49,8,4,0,0,0,0,0,0,77,13
S00110567,0.99999999997435296,130,41,4,4,0,0,0,0,0,0,73,8
S00110568,0.99999999999443601,149,67,8,2,0,0,0,0,0,0,62,10
S00110569,0.99999999997468603,96,20,5,0,0,0,0,0,0,0,61,10
S00110570,0.60887587898829498,124,50,10,9,0,0,0,0,0,0,47,8
S00110571,0.999999999997776,98,23,10,4,0,0,0,0,0,0,52,9
S00110572,0.99999999978781795,180,80,8,0,0,0,0,12,8,0,67,5
S00110573,1.0000000000101501,153,47,11,4,0,0,0,8,0,0,72,11
S00110574,0.64293060684714598,129,56,5,4,0,0,0,0,0,1,56,7
S00110575,0.99999999999955103,99,19,14,3,0,0,0,0,0,1,53,9
S00110576,1.0000000000021101,124,26,11,5,0,0,0,0,0,0,78,4
S00110577,0.99999999991480004,102,20,9,8,0,0,0,0,0,0,62,3
S00110578,1.00000000000302,157,37,15,4,0,0,0,0,0,0,92,9
S00110579,0.99999999999985301,137,23,16,9,0,0,0,0,0,0,82,7
S00110580,1.0000000000009599,156,51,11,7,0,0,0,0,0,0,79,8
S00110581,0.99999999999863398,155,35,11,6,0,0,0,0,0,0,91,12
S00110582,0.99999999998915001,157,39,14,5,0,0,0,0,0,0,91,8
S00110583,1.00000000001497,124,27,13,11,0,0,0,0,0,1,65,7
S00110584,0.999999999996533,60,16,2,1,0,2,0,0,0,0,38,1
S00110585,0.99999999999369005,159,41,16,7,0,0,0,0,0,0,81,14
S00110586,0.99999999994030098,145,41,11,7,0,0,0,0,0,0,72,14
S00110587,0.99999999988940902,109,28,4,8,0,0,0,3,0,0,62,4
S00110588,0.99999999997392397,109,47,7,3,0,0,0,0,0,0,44,8
S00110589,0.99999999999469102,136,60,10,8,0,0,0,0,0,0,53,5
S00110590,0.99999999997286604,69,36,12,1,0,0,0,0,0,0,15,5
S00110591,0.99999999999776201,119,30,15,9,0,0,0,0,0,1,52,12
S00110592,1.00000000000839,110,26,6,2,0,0,0,5,0,0,60,11
S00110593,0.99999999999801603,136,38,8,9,0,2,0,3,0,0,65,11
S00110594,1.00000000000225,112,30,6,2,0,0,0,0,0,0,74,0
S00110595,0.99999999998189504,108,49,10,6,0,0,0,1,0,0,36,6
S00110596,0.99999999998210298,154,48,11,4,0,0,0,0,0,0,77,14
S00110597,1.00000000000249,107,34,7,2,0,0,0,0,0,0,60,4
S00110598,0.99999999999739497,114,29,10,4,0,0,0,0,0,0,64,7
S00110599,0.99999999998972899,85,24,8,9,0,0,1,0,0,0,36,7
S00110600,0.99999999999608702,114,55,6,3,1,4,0,0,0,0,34,11
S00110601,0.99999999999995803,115,38,5,10,0,0,0,0,0,0,62,0
S00110602,1.0000000000462801,120,39,8,2,0,0,0,10,0,1,55,5
S00110603,1.00000000000025,146,50,10,5,1,0,0,0,0,0,70,10
S00110604,1.0000000000034599,118,29,1,2,0,0,0,3,0,0,69,14
S00110605,1.0000000000044,111,32,1,5,1,0,0,0,0,0,64,8
S00110606,0.99999999999603695,139,38,11,14,0,0,0,0,0,0,69,7
S00110607,0.99999999999925304,142,34,9,7,0,0,0,0,0,0,87,5
S00110608,0.99999999999406197,121,37,9,4,0,0,0,0,0,0,62,9
S00110609,1.00000000002556,103,30,8,6,1,0,0,3,0,1,50,4
S00110610,0.999999999970276,151,33,15,6,0,0,0,8,0,0,80,9
S00110611,0.99999999999720401,158,40,12,5,0,3,1,4,0,0,73,20
S00110612,0.99999999999757105,133,35,8,16,1,0,0,0,0,0,65,8
S00110613,1.00000000000107,94,22,7,5,0,0,0,0,0,0,54,6
S00110614,1.0000000000003499,69,11,5,4,0,0,0,0,0,1,43,5
S00110615,1.00000000000366,101,15,15,6,0,0,0,4,0,0,58,3
S00110616,0.99999999999959599,109,24,7,5,0,0,0,0,0,1,64,8
S00110617,0.99999999999531697,106,20,19,7,0,0,0,3,0,0,48,9
S00110618,0.99999999999367695,72,37,5,6,0,0,0,0,0,1,19,4
S00110619,0.99999999999771905,155,23,12,5,1,0,0,0,0,0,105,9
S00110620,0.99999999999867195,87,42,12,2,0,0,0,0,0,0,20,11
S00110621,1.00000000000862,127,24,14,12,0,0,0,0,0,0,71,6
S00110622,1.0000000000018401,85,25,7,4,0,0,0,0,0,1,44,4
S00110623,1.0000000000001901,74,17,4,1,1,0,0,0,0,0,41,10
S00110624,1.00000000028731,148,30,9,8,0,0,0,0,0,0,91,10
