rel..oa_id,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00003705,348,204,1,0,0,0,0,3,109,31
W00003706,332,196,4,0,0,0,0,3,92,37
W00003707,247,143,1,0,1,0,1,3,65,33
W00003708,357,199,1,0,0,0,0,6,117,34
W00003709,288,210,0,0,0,0,0,3,60,15
W00003710,230,145,0,0,0,0,0,2,60,23
W00003711,314,220,2,2,0,2,6,0,72,10
W00003712,410,237,0,0,0,1,0,2,146,24
W00003713,286,180,2,0,0,5,0,0,89,10
W00003714,206,137,3,0,0,2,7,3,47,7
W00003715,387,293,0,0,0,7,0,0,68,19
W00003716,401,255,1,0,0,0,3,0,126,16
W00003717,311,168,0,0,0,1,0,1,126,15
W00003718,308,217,0,0,0,0,0,1,70,20
W00003719,326,202,0,4,1,4,0,0,84,31
W00003720,253,207,0,0,0,0,0,0,30,16
W00003721,384,236,1,0,0,1,0,1,111,34
W00003722,418,236,0,7,0,1,0,2,141,31
W00003723,401,253,0,0,1,0,0,0,107,40
W00003724,298,140,0,0,0,0,0,4,128,26
W00003725,261,154,0,3,0,0,0,1,92,11
W00003726,339,242,0,0,0,0,0,1,75,21
W00003727,210,146,1,0,0,0,0,1,42,20
W00003728,271,228,0,0,0,0,0,1,35,7
W00003729,534,396,0,0,0,0,0,2,93,43
W00003730,229,174,0,4,0,0,0,1,30,20
W00003731,297,202,0,0,1,0,0,0,73,21
W00003732,301,184,0,1,0,0,0,0,88,28
W00003733,200,129,0,2,0,0,0,5,45,19
W00003734,299,182,1,1,0,0,0,0,92,23
W00003735,305,197,1,0,0,0,0,0,86,21
W00003736,274,169,0,0,0,0,0,0,61,44
W00003737,323,209,1,0,0,1,0,0,76,36
W00003738,315,167,1,0,0,0,0,6,103,38
W00003739,273,176,0,3,0,1,0,1,75,17
W00003740,384,214,0,0,0,0,0,3,145,22
W00003741,288,127,0,0,0,0,0,0,127,34
W00003742,320,214,2,0,0,0,0,1,74,29
W00003743,321,195,1,0,0,0,0,0,92,33
W00003744,296,182,2,0,0,0,0,0,88,24
W00003745,384,266,2,1,0,0,0,0,90,25
W00003746,335,211,2,0,0,0,5,4,87,26
W00003747,485,322,2,0,0,0,0,5,117,39
W00003748,305,166,0,0,0,0,0,4,114,21
W00003749,351,231,0,0,0,0,1,0,87,32
W00003750,314,183,0,0,0,3,0,2,94,32
W00003751,303,158,1,6,0,4,0,1,106,27
W00003752,378,247,0,0,1,0,0,4,97,29
W00003753,273,168,0,0,1,1,0,0,80,23
W00003754,276,142,1,0,0,0,0,1,108,24
W00003755,326,214,0,0,0,0,0,2,93,17
W00003756,257,118,0,0,0,0,0,2,103,34
W00003757,304,174,2,0,0,0,0,0,93,35
W00003758,391,256,0,5,0,0,0,1,102,27
W00003759,292,161,0,0,0,0,0,0,113,18
W00003760,289,197,0,0,0,0,0,2,61,29
W00003761,284,199,0,0,0,1,0,1,62,21
W00003762,294,189,2,0,0,4,0,8,67,24
W00003763,198,133,1,0,0,0,0,0,46,18
W00003764,282,198,0,1,0,1,0,2,57,23
W00003765,207,149,1,0,0,0,0,2,42,13
W00003766,217,143,3,0,0,0,0,2,46,23
W00003767,235,162,1,0,1,0,0,0,63,8
W00003768,466,313,1,1,0,0,0,0,89,62
W00003769,265,122,0,0,0,1,0,0,112,30
W00003770,420,266,0,0,1,0,0,5,111,37
W00003771,271,179,1,0,0,0,0,6,68,17
W00003772,216,160,0,0,0,0,0,1,41,14
W00003773,342,218,3,0,0,0,1,3,89,28
W00003774,283,192,0,0,0,0,0,3,65,23
W00003775,297,202,0,0,1,0,0,4,63,27
W00003776,247,161,1,0,0,0,0,2,66,17
W00003777,289,190,3,0,0,0,0,2,79,15
W00003778,354,185,0,0,0,1,0,2,128,38
W00003779,300,155,1,0,0,1,0,0,120,23
W00003780,295,172,0,0,0,1,0,0,100,22
W00003781,349,209,0,0,0,5,0,0,113,22
W00003782,341,205,2,1,1,0,0,2,108,22
W00003783,262,178,1,3,0,1,0,1,62,16
W00003784,269,182,1,1,0,0,0,0,68,17
W00003785,279,150,2,1,0,0,0,1,98,27
W00003786,288,171,0,1,0,0,0,0,103,13
W00003787,270,183,1,0,0,0,0,0,72,14
W00003788,262,174,0,1,0,1,0,0,65,21
W00003789,335,183,0,0,0,0,0,1,114,37
W00003790,292,182,0,0,0,0,0,0,92,18
W00003791,280,148,0,7,0,4,0,2,107,12
W00003792,296,157,1,0,0,0,0,0,120,18
W00003793,423,259,0,0,0,0,0,0,129,35
W00003794,273,187,0,0,1,0,0,0,60,25
