ethn..geo_code,ethn..total_persons,ethn..ethnic_group_e_s_w_white_english_welsh_scottish_northern_irish_british_unit_persons,ethn..ethnic_group_e_s_w_white_irish_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_white_other_white_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_caribbean_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_african_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_asian_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_other_mixed_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_african_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_caribbean_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_other_black_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_arab_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
W00003292,319,302,2,5,5,0,0,0,1,0,0,0,0,2,0,1,1,0,0,314,2,2,1,0
W00003293,269,259,2,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,266,0,0,3,0
W00003294,274,256,10,0,1,0,3,2,1,0,0,0,0,1,0,0,0,0,0,267,0,1,6,0
W00003295,236,229,1,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,230,0,2,4,0
W00003296,255,246,2,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,252,0,1,2,0
W00003297,225,221,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,224,0,1,0,0
W00003298,397,393,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,396,1,0,0,0
W00003299,305,300,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,303,0,1,1,0
W00003300,244,243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0
W00003301,234,231,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,233,0,1,0,0
W00003302,374,361,1,0,5,2,0,1,0,1,0,0,0,2,0,1,0,0,0,367,1,3,3,0
W00003303,247,242,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,1,0
W00003304,191,175,0,0,4,3,0,1,0,0,0,0,0,7,0,0,1,0,0,179,1,7,4,0
W00003305,169,128,1,3,20,0,0,1,1,0,0,0,4,11,0,0,0,0,0,152,0,15,2,0
W00003306,246,232,3,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,244,1,0,0,1
W00003307,110,100,1,4,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,106,0,3,1,0
W00003308,189,182,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,188,0,0,1,0
W00003309,200,190,4,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,196,0,0,4,0
W00003310,244,221,5,0,2,0,0,1,1,1,0,0,0,4,5,0,0,0,4,228,5,5,2,4
W00003311,129,127,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0
W00003312,282,273,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,1,0
W00003313,247,230,2,2,5,0,0,0,0,5,2,0,0,0,0,0,0,1,0,239,0,7,0,1
W00003314,474,455,1,0,14,3,0,0,0,0,0,0,0,1,0,0,0,0,0,470,0,1,3,0
W00003315,318,309,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,311,0,1,5,1
W00003316,329,315,1,0,4,4,0,1,0,4,0,0,0,0,0,0,0,0,0,320,0,4,5,0
W00003317,366,356,2,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,2,362,0,1,1,2
W00003318,392,374,0,5,6,2,0,3,0,0,0,0,1,0,0,0,0,1,0,385,0,1,5,1
W00003319,620,591,3,0,7,6,0,6,1,0,0,0,0,3,0,0,3,0,0,601,3,3,13,0
W00003320,238,236,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0
W00003321,237,232,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,236,0,0,1,0
W00003322,155,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0
W00003323,235,233,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,234,0,0,1,0
W00003324,182,166,2,0,7,0,0,1,0,0,0,0,1,3,0,1,0,0,1,175,1,4,1,1
W00003325,300,290,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,297,0,0,1,2
W00003326,311,297,3,4,2,1,0,1,1,0,0,0,1,1,0,0,0,0,0,306,0,2,3,0
W00003327,267,249,0,0,12,0,2,0,0,0,0,0,0,4,0,0,0,0,0,261,0,4,2,0
W00003328,253,244,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,252,0,0,1,0
W00003329,213,200,5,1,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,206,0,5,2,0
W00003330,296,283,0,0,4,0,0,0,0,2,0,0,0,7,0,0,0,0,0,287,0,9,0,0
W00003331,290,269,4,0,3,0,0,4,2,2,0,0,4,1,0,0,0,0,1,276,0,7,6,1
W00003332,180,168,1,0,8,0,0,0,0,1,0,0,0,2,0,0,0,0,0,177,0,3,0,0
W00003333,243,209,7,0,24,1,0,1,0,0,0,0,0,0,0,1,0,0,0,240,1,0,2,0
W00003334,182,177,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181,0,1,0,0
W00003335,260,245,2,0,2,3,0,3,1,3,0,0,0,1,0,0,0,0,0,249,0,4,7,0
W00003336,375,344,4,0,6,3,1,1,0,4,5,0,0,4,0,0,0,0,3,354,0,13,5,3
W00003337,179,149,3,0,11,0,0,0,0,3,0,0,0,5,0,0,0,0,8,163,0,8,0,8
W00003338,229,215,4,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,228,0,0,1,0
W00003339,265,254,0,1,3,0,0,2,2,2,0,0,0,1,0,0,0,0,0,258,0,3,4,0
W00003340,214,204,0,0,4,0,0,0,0,4,0,0,0,0,0,1,0,0,1,208,1,4,0,1
W00003341,242,231,1,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,2,238,0,0,2,2
W00003342,215,181,4,2,3,1,0,0,1,0,0,1,8,0,0,1,0,1,12,190,1,9,2,13
W00003343,297,283,3,0,8,0,0,0,0,0,0,0,0,2,0,0,0,1,0,294,0,2,0,1
W00003344,259,248,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0
W00003345,295,290,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,292,0,2,1,0
W00003346,324,319,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,320,0,3,1,0
W00003347,361,350,2,0,4,0,0,0,1,3,0,0,0,0,1,0,0,0,0,356,1,3,1,0
W00003348,382,373,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,380,0,2,0,0
W00003349,256,250,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,252,0,1,3,0
W00003350,238,232,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,236,0,2,0,0
W00003351,360,352,0,0,2,0,0,1,2,1,0,0,0,2,0,0,0,0,0,354,0,3,3,0
W00003352,419,408,0,0,8,0,0,2,0,0,0,0,0,1,0,0,0,0,0,416,0,1,2,0
W00003353,318,310,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0
W00003354,387,375,3,0,1,0,0,3,0,1,4,0,0,0,0,0,0,0,0,379,0,5,3,0
W00003355,358,353,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0,0,0
W00003356,278,267,4,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,275,0,0,3,0
W00003357,330,318,3,0,2,0,0,1,0,2,0,0,0,4,0,0,0,0,0,323,0,6,1,0
W00003358,259,250,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,258,0,1,0,0
W00003359,357,343,4,3,2,0,0,0,0,3,1,0,0,0,1,0,0,0,0,352,1,4,0,0
W00003360,346,338,1,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,344,1,0,1,0
W00003361,328,309,4,0,2,0,0,1,0,5,0,1,0,6,0,0,0,0,0,315,0,12,1,0
W00003362,212,202,3,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,208,0,2,2,0
W00003363,207,205,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,0,1,0,0
W00003364,327,314,0,0,1,0,0,3,0,0,0,0,0,9,0,0,0,0,0,315,0,9,3,0
W00003365,266,250,0,0,3,0,0,0,4,4,0,0,0,1,0,0,0,4,0,253,0,5,4,4
W00003366,276,269,2,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,273,0,2,1,0
W00003367,276,258,0,0,0,3,0,0,1,7,0,0,0,3,0,4,0,0,0,258,4,10,4,0
W00003368,207,197,1,0,1,0,0,1,0,0,0,0,0,3,0,4,0,0,0,199,4,3,1,0
W00003369,225,217,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,220,0,5,0,0
W00003370,338,329,4,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,333,0,1,4,0
W00003372,396,387,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,2,0
W00003373,215,205,1,0,6,0,0,2,0,0,0,1,0,0,0,0,0,0,0,212,0,1,2,0
W00003374,312,304,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,308,0,0,4,0
W00003375,286,280,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,280,0,0,5,1
W00003376,280,270,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,3,275,1,0,1,3
W00003377,288,276,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,286,1,1,0,0
W00003378,280,258,3,0,11,0,0,4,0,4,0,0,0,0,0,0,0,0,0,272,0,4,4,0
W00003379,298,290,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0
W00003380,348,313,0,0,28,0,2,0,3,0,0,0,0,1,1,0,0,0,0,341,1,1,5,0
W00003381,183,168,0,0,10,3,0,1,0,0,0,0,1,0,0,0,0,0,0,178,0,1,4,0
W00003382,313,300,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,2,0
W00003383,278,269,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,273,0,5,0,0
W00003384,395,383,0,0,8,0,0,2,0,0,0,0,0,2,0,0,0,0,0,391,0,2,2,0
W00003385,334,321,4,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,2,329,0,2,1,2
W00003386,247,241,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,243,0,1,3,0
