rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00095231,0.99999999993470401,69,19,4,2,0,0,0,0,0,0,34,10
S00095232,0.99999999998056299,50,14,4,0,0,0,0,0,0,1,24,7
S00095233,0.99999999999974098,115,43,6,9,1,0,0,0,0,0,53,3
S00095234,0.99999999999948697,115,18,10,5,0,0,3,0,0,0,67,12
S00095235,0.999999999975557,177,71,9,6,1,0,0,0,0,1,71,18
S00095236,0.999999999999856,109,21,5,10,0,0,0,0,0,0,59,14
S00095237,1.0000000000009499,98,27,9,6,0,0,0,0,0,0,54,2
S00095238,1.0000000000006,105,15,9,2,0,0,0,0,0,3,72,4
S00095271,1.0000000000940901,88,29,9,1,0,0,0,0,0,2,40,7
S00095272,0.99999999999642997,86,37,7,0,0,0,0,0,0,0,36,6
S00095273,1.00000000000084,109,36,6,8,0,0,0,0,0,0,55,4
S00095274,1.0000000000426199,120,41,8,5,0,0,0,0,0,0,61,5
S00095275,0.99999999999982203,152,59,8,6,1,0,0,1,0,0,74,3
S00095276,1.0000000000007301,146,51,7,5,0,0,0,0,0,0,76,7
S00095277,1.0000000001073499,120,43,8,14,0,0,0,0,0,1,46,8
S00095278,1.0000000000006699,118,36,11,1,1,0,0,0,0,0,54,15
S00095279,0.999999999998327,112,33,12,5,0,0,0,0,0,0,54,8
S00095280,0.999999999975696,71,32,3,6,0,0,0,0,0,0,26,4
S00095281,1.0000000000165301,120,55,9,8,0,0,0,0,0,0,47,1
S00095282,0.99999999998620304,135,54,5,2,0,0,0,0,0,0,67,7
S00095283,1.0000000001379199,124,23,22,4,0,0,0,0,0,1,69,5
S00095284,0.99999999997858302,102,26,12,2,0,3,0,0,0,0,54,5
S00095285,0.99999999999467204,71,17,7,5,0,0,0,0,0,1,37,4
S00095286,1.00000000018777,121,24,15,3,1,0,0,1,0,2,69,6
S00095287,0.999999999996249,94,21,8,5,0,0,0,4,0,3,46,7
S00095288,0.99999999999859801,118,31,11,13,2,1,0,0,0,1,51,8
S00095289,0.99999999999119304,143,33,13,15,0,1,0,1,0,0,69,11
S00095290,0.99999999994713196,77,23,5,4,0,0,0,0,0,0,38,7
S00095291,1.0000000000023901,124,18,10,7,0,0,0,0,0,2,76,11
S00095292,0.99999999991991295,131,38,7,4,0,3,1,0,0,1,69,8
S00095293,1.0000000000076299,65,20,4,2,0,0,0,0,0,0,36,3
S00095294,0.99999999999398903,52,13,9,1,0,0,0,0,0,0,27,2
S00095295,0.99999999999923395,107,35,4,6,0,0,0,0,0,0,56,6
S00095296,1.00000000000418,95,32,11,7,0,0,0,0,0,0,37,8
