rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_presbyterian_church_in_ireland,rel..religion_church_of_ireland,rel..religion_methodist_church_in_ireland,rel..religion_other_christian_including_christian_related,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
N00000853,282,208,1,0,0,1,3,4,65
N00000854,763,634,1,0,2,4,0,22,100
N00000900,216,40,22,23,20,15,0,55,41
N00000906,263,7,88,75,28,37,2,15,11
N00000907,332,3,94,90,21,30,10,53,31
N00000908,329,3,92,106,37,25,3,47,16
N00000909,246,19,80,77,14,27,0,17,12
N00000910,273,8,76,67,21,18,4,37,42
N00000911,239,3,76,55,19,15,2,24,45
N00000912,243,4,65,78,19,18,0,35,24
N00000913,321,7,112,56,39,24,7,17,59
N00000914,294,13,84,76,22,30,2,37,30
N00000915,214,7,50,50,29,17,1,32,28
N00000916,234,8,70,51,23,25,11,36,10
N00000917,226,16,57,55,35,10,0,33,20
N00000918,261,18,59,54,33,26,2,59,10
N00000919,229,23,52,65,31,11,6,30,11
N00000920,148,4,60,30,11,11,2,24,6
N00000921,713,20,225,194,52,65,1,94,62
N00000922,292,61,56,47,25,19,3,63,18
N00000923,257,15,82,56,24,22,4,38,16
N00000924,224,8,86,41,28,22,3,17,19
N00000925,288,4,83,55,22,37,8,40,39
N00000926,284,227,0,3,0,1,2,11,40
N00000927,421,326,10,9,0,18,1,9,48
N00000928,356,310,6,2,0,5,1,14,18
N00000929,437,348,0,7,0,1,1,27,53
N00000930,364,298,2,1,0,0,1,20,42
N00000931,682,560,2,17,0,4,3,17,79
N00000932,419,347,1,1,0,10,4,20,36
N00000933,288,242,1,0,0,1,4,15,25
N00000934,282,227,0,2,0,3,6,18,26
N00000935,251,184,2,3,0,2,1,20,39
N00000936,473,425,2,0,0,0,2,8,36
N00000937,433,366,3,1,0,1,1,13,48
N00000938,345,311,0,5,0,2,1,3,23
N00000939,198,157,1,0,0,0,2,7,31
N00000940,252,210,1,1,1,3,1,13,22
N00000941,343,223,25,23,5,2,1,43,21
N00000942,280,201,13,13,5,3,1,26,18
N00000943,272,200,7,3,2,1,2,23,34
N00000944,245,185,6,0,0,12,5,16,21
N00000945,254,178,13,10,3,5,2,25,18
N00000946,386,74,81,52,58,19,3,52,47
N00000947,248,193,12,3,1,1,0,14,24
N00000948,225,168,3,5,1,2,0,28,18
N00000949,314,234,9,7,3,1,1,22,37
N00000950,317,173,31,14,7,16,9,33,34
N00000951,240,116,32,23,18,12,1,15,23
N00000952,391,57,81,59,24,35,9,89,37
N00000953,238,165,8,13,1,4,0,18,29
N00000954,275,19,88,39,22,28,0,36,43
N00000955,394,248,29,19,6,13,4,43,32
N00000956,488,356,21,21,6,15,7,38,24
N00000975,262,8,66,63,19,7,3,50,46
N00000976,141,19,19,41,19,8,3,19,13
N00000977,285,18,60,83,43,19,5,39,18
N00000978,239,17,77,32,15,24,1,40,33
N00000979,217,16,51,47,18,12,1,51,21
N00000980,223,41,35,40,16,17,2,40,32
N00000981,207,24,39,48,4,20,3,44,25
N00000982,252,47,54,36,11,9,5,57,33
N00000983,336,24,81,83,44,14,8,56,26
N00000984,329,51,58,60,8,32,10,67,43
N00000985,244,17,59,81,27,7,3,27,23
N00000986,214,27,55,48,15,6,3,39,21
N00000987,367,23,86,81,27,36,6,64,44
N00000988,146,25,30,27,7,13,3,22,19
N00000989,262,9,45,91,43,18,3,35,18
N00000990,274,33,48,60,22,20,7,55,29
N00001006,527,185,51,36,8,30,16,162,39
N00001007,595,223,51,54,16,19,32,154,46
N00001008,245,92,33,6,3,11,7,64,29
N00001009,188,74,16,14,2,6,9,51,16
N00001010,334,217,11,5,2,8,11,40,40
N00001011,374,208,12,16,3,10,12,71,42
