pop..dz_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01009412,843,408,435,43,67,58,137,93,250,128,67
S01009413,865,421,444,40,63,52,93,118,238,180,81
S01009414,673,325,348,39,71,53,81,71,146,147,65
S01009415,676,332,344,24,44,41,87,59,240,146,35
S01009416,478,235,243,18,25,28,73,41,144,105,44
S01009417,1339,652,687,132,188,107,188,248,301,100,75
S01009418,1022,542,480,63,68,51,132,118,322,183,85
S01009419,590,273,317,35,63,43,79,85,155,91,39
S01009420,635,300,335,41,78,64,99,74,159,86,34
S01009421,698,340,358,36,76,77,87,86,160,122,54
S01009422,740,366,374,28,51,46,96,86,199,161,73
S01009423,1430,737,693,101,177,137,160,240,434,147,34
S01009424,572,276,296,17,23,27,58,58,160,138,91
S01009425,674,348,326,35,38,29,83,72,175,159,83
S01009426,731,364,367,36,55,36,95,82,183,146,98
S01009427,521,247,274,24,33,28,67,49,166,101,53
S01009428,709,320,389,36,57,55,81,67,162,120,131
S01009429,752,377,375,31,56,38,115,88,204,138,82
S01009430,691,329,362,43,37,30,99,73,205,147,57
S01009431,638,305,333,40,46,28,89,70,181,128,56
S01009432,767,349,418,52,75,63,114,114,178,126,45
S01009433,811,359,452,68,91,71,129,87,210,110,45
S01009434,587,301,286,42,67,46,69,77,149,87,50
S01009435,767,400,367,69,104,63,122,81,207,90,31
S01009436,650,333,317,26,55,45,77,103,172,124,48
S01009437,628,306,322,18,51,34,77,71,184,120,73
S01009438,853,377,476,50,92,62,107,77,220,163,82
S01009439,869,426,443,34,65,77,129,112,219,166,67
S01009440,654,297,357,36,55,48,70,73,162,111,99
S01009441,744,349,395,44,81,48,123,85,194,125,44
S01009442,631,319,312,40,61,45,80,69,198,105,33
S01009443,1341,644,697,102,104,75,169,171,337,227,156
S01009444,778,384,394,26,75,60,100,60,233,172,52
S01009445,774,397,377,72,78,48,89,110,196,130,51
S01009446,800,395,405,50,48,44,128,102,229,142,57
S01009447,497,237,260,16,33,34,67,60,138,103,46
S01009448,1058,492,566,55,99,79,118,140,316,193,58
S01009449,495,239,256,31,37,26,70,56,113,111,51
S01009450,567,270,297,37,35,44,94,75,166,72,44
S01009451,1043,510,533,53,114,80,174,137,295,131,59
S01009452,510,245,265,24,37,29,70,83,128,95,44
S01009453,1035,506,529,54,79,44,144,135,266,201,112
S01009454,930,464,466,27,92,89,66,90,288,204,74
S01009455,1149,550,599,66,105,61,101,162,338,218,98
S01009456,913,447,466,67,53,43,122,146,247,169,66
S01009457,647,302,345,29,41,40,51,44,172,151,119
S01009458,737,347,390,31,36,37,84,77,230,129,113
S01009459,921,456,465,35,66,67,115,119,243,192,84
S01009460,777,397,380,47,99,42,105,114,200,111,59
S01009461,975,479,496,60,160,87,73,148,317,107,23
S01009462,734,380,354,27,64,66,89,87,197,130,74
S01009463,623,308,315,31,46,32,59,45,171,154,85
S01009464,859,420,439,32,68,66,82,113,237,193,68
S01009465,593,268,325,22,35,30,104,63,191,91,57
S01009466,508,233,275,14,26,25,54,31,142,136,80
S01009467,742,352,390,13,42,49,64,50,230,172,122
S01009468,697,331,366,32,52,38,87,62,219,134,73
S01009469,840,399,441,26,41,45,105,71,231,224,97
S01009470,477,202,275,16,26,25,59,47,120,117,67
S01009471,586,294,292,24,25,15,64,62,168,163,65
S01009472,956,429,527,79,119,69,145,114,201,151,78
S01009473,818,445,373,70,52,39,175,105,212,110,55
S01009474,914,458,456,56,89,87,145,107,279,106,45
S01009475,579,296,283,16,43,39,66,50,192,126,47
S01009476,680,328,352,33,69,56,89,90,236,87,20
S01009477,784,405,379,27,47,46,73,76,225,150,140
S01009478,841,423,418,48,52,45,122,123,234,159,58
S01009479,896,421,475,45,56,49,108,117,257,145,119
S01009480,803,365,438,19,56,46,85,65,227,205,100
S01009481,877,436,441,30,42,42,118,114,266,140,125
S01009482,536,237,299,22,35,21,58,68,122,95,115
S01009483,632,337,295,22,25,40,89,67,242,105,42
S01009484,862,382,480,39,39,30,109,86,216,167,176
S01009485,761,347,414,30,64,57,108,80,202,120,100
S01009486,618,281,337,27,37,35,64,56,146,150,103
S01009487,786,376,410,37,85,54,89,132,185,120,84
S01009488,688,335,353,49,66,57,104,84,174,105,49
S01009489,761,362,399,37,40,39,105,72,213,152,103
S01009490,786,384,402,60,57,54,107,120,222,130,36
S01009491,816,394,422,28,55,46,75,82,192,167,171
S01009492,708,340,368,22,65,52,109,71,205,120,64
S01009493,792,403,389,25,50,42,58,48,206,244,119
S01009494,946,462,484,56,76,54,114,88,329,161,68
S01009495,829,408,421,30,50,53,102,93,248,183,70
S01009496,710,339,371,37,61,37,107,78,187,126,77
S01009497,875,406,469,47,64,57,119,118,213,151,106
S01009498,610,299,311,18,38,35,52,49,149,191,78
S01009499,728,355,373,42,49,47,79,99,188,158,66
S01009500,750,340,410,58,62,43,101,113,188,123,62
S01009501,839,392,447,48,95,56,123,112,199,139,67
S01009502,781,385,396,51,74,47,117,101,221,128,42
S01009503,649,303,346,45,50,40,102,73,160,125,54
S01009504,660,312,348,39,70,46,87,92,181,110,35
S01009505,778,367,411,60,91,55,120,129,205,86,32
S01009506,717,358,359,53,72,58,117,81,175,125,36
S01009507,826,384,442,30,88,97,112,90,231,130,48
S01009508,807,375,432,56,93,51,137,81,197,145,47
S01009509,967,483,484,56,96,69,165,117,267,136,61
S01009510,654,304,350,25,43,33,56,73,156,187,81
S01009511,602,297,305,27,52,27,63,68,151,102,112
S01009512,728,358,370,27,60,57,67,77,180,179,81
S01009513,575,265,310,28,47,36,54,72,135,137,66
S01009514,638,310,328,27,44,53,81,72,151,150,60
S01009515,710,338,372,29,57,37,76,67,193,161,90
S01009516,869,375,494,47,48,49,93,97,189,173,173
S01009517,1081,528,553,59,140,127,132,136,403,65,19
S01009518,1034,528,506,73,128,101,134,148,366,63,21
S01009519,975,457,518,78,130,71,113,187,219,133,44
S01009520,777,359,418,41,83,53,92,89,216,163,40
S01009521,903,425,478,42,103,91,108,122,172,146,119
S01009522,981,485,496,70,119,135,138,132,258,102,27
S01009523,589,270,319,50,55,44,89,84,133,93,41
S01009524,725,366,359,40,54,60,115,115,186,116,39
S01009525,529,229,300,36,74,31,74,76,129,62,47
S01009526,702,365,337,27,41,43,97,152,163,129,50
S01009527,675,367,308,31,42,27,90,138,183,109,55
S01009528,503,240,263,5,10,13,51,59,120,139,106
S01009529,581,283,298,20,40,28,59,67,155,110,102
S01009530,546,264,282,9,20,26,52,31,193,148,67
S01009531,861,398,463,61,66,46,117,124,190,165,92
S01009532,796,381,415,30,51,38,116,84,187,175,115
S01009533,1068,491,577,74,138,80,162,186,239,144,45
S01009534,818,437,381,60,69,61,147,109,214,102,56
S01009535,764,386,378,64,107,72,127,121,176,77,20
S01009536,573,256,317,29,55,48,91,70,146,80,54
S01009537,562,295,267,20,42,42,56,85,154,110,53
S01009538,822,398,424,45,41,33,85,114,247,169,88
S01009539,968,477,491,56,78,55,120,119,227,225,88
S01009540,797,411,386,57,80,39,99,136,222,111,53
S01009541,1031,500,531,43,63,48,113,118,335,221,90
S01009542,732,337,395,57,68,51,140,96,179,107,34
S01009543,571,263,308,25,24,30,47,65,154,163,63
S01009544,937,445,492,33,60,52,85,67,313,235,92
S01009545,784,367,417,37,86,49,88,89,210,152,73
S01009546,1182,584,598,74,140,77,141,216,317,163,54
S01009547,814,398,416,56,61,65,109,119,205,144,55
S01009548,651,332,319,43,51,35,83,85,176,117,61
S01009549,737,397,340,32,66,36,97,82,222,142,60
S01009550,515,254,261,25,43,35,79,58,149,82,44
S01009551,486,225,261,31,49,29,69,55,111,97,45
S01009552,909,431,478,49,71,49,109,89,224,181,137
S01009553,887,404,483,62,92,62,141,122,194,163,51
S01009554,608,306,302,36,45,30,62,55,169,162,49
S01009555,728,372,356,28,55,36,83,75,223,155,73
S01009556,714,365,349,61,68,42,93,94,198,108,50
S01009557,607,257,350,51,71,35,79,78,139,111,43
S01009558,667,321,346,49,68,71,99,94,169,78,39
S01009559,751,371,380,25,69,60,108,80,248,101,60
S01009560,771,370,401,70,78,63,83,107,215,102,53
S01009561,691,337,354,40,72,72,123,96,158,79,51
S01009562,810,370,440,36,68,54,113,80,185,137,137
S01009563,730,366,364,31,53,43,106,96,171,146,84
S01009564,633,284,349,33,51,43,67,63,169,112,95
S01009565,541,262,279,25,47,40,80,68,169,71,41
S01009566,1022,462,560,66,88,83,161,116,288,157,63
S01009567,806,387,419,45,72,43,80,110,220,156,80
S01009568,738,345,393,45,78,61,106,86,215,97,50
S01009569,751,352,399,43,59,34,108,103,185,128,91
S01009570,532,255,277,32,33,45,95,54,155,87,31
S01009571,663,336,327,44,60,52,94,113,169,95,36
S01009572,952,478,474,61,88,61,149,121,262,142,68
S01009573,704,336,368,44,63,72,125,90,175,94,41
S01009574,957,476,481,56,76,62,152,113,222,177,99
S01009575,497,248,249,17,34,33,84,54,132,97,46
S01009576,472,225,247,7,18,29,40,30,117,167,64
S01009577,677,334,343,16,31,26,79,42,179,221,83
S01009578,713,341,372,45,69,50,91,74,205,137,42
S01009579,1004,498,506,41,65,61,110,112,340,201,74
S01009580,963,478,485,26,76,106,117,102,326,158,52
S01009581,560,259,301,34,41,35,67,72,137,124,50
S01009582,509,247,262,25,54,45,58,89,135,65,38
S01009583,788,385,403,47,75,82,130,110,186,110,48
S01009584,534,274,260,13,47,53,66,60,149,73,73
S01009585,962,475,487,59,86,97,129,113,243,185,50
S01009586,648,323,325,16,39,33,63,73,138,167,119
S01009587,706,352,354,22,55,32,108,64,196,134,95
S01009588,1014,486,528,52,66,71,119,96,234,197,179
S01009589,984,467,517,71,114,91,128,138,247,132,63
S01009590,726,373,353,23,67,59,81,71,201,148,76
S01009591,614,310,304,12,33,38,67,64,164,170,66
S01009592,534,256,278,15,23,22,41,39,133,179,82
S01009593,605,300,305,35,33,39,63,59,184,141,51
S01009594,669,327,342,15,54,52,81,58,226,146,37
S01009595,467,222,245,24,25,46,59,43,167,79,24
S01009596,751,371,380,50,77,60,100,117,185,118,44
S01009597,809,392,417,60,109,70,131,115,173,121,30
S01009598,647,325,322,35,72,54,88,67,170,123,38
S01009599,802,369,433,30,63,56,114,89,218,180,52
S01009600,578,261,317,29,52,38,70,77,135,105,72
S01009601,630,337,293,33,51,38,93,84,167,133,31
S01009602,683,342,341,22,53,44,76,49,235,162,42
S01009603,527,279,248,19,30,30,52,46,162,149,39
S01009604,824,401,423,50,67,66,68,110,223,178,62
S01009605,702,354,348,28,40,41,110,75,175,149,84
S01009606,752,362,390,52,105,39,60,112,229,73,82
S01009607,788,366,422,39,52,39,98,80,198,154,128
S01009608,603,300,303,24,40,57,69,90,181,93,49
S01009609,813,408,405,22,58,64,98,57,269,156,89
S01009610,986,482,504,39,62,55,134,118,277,203,98
S01009611,506,254,252,13,28,20,50,44,152,140,59
S01009612,531,256,275,24,31,19,63,60,175,106,53
S01009613,435,213,222,10,25,33,50,31,125,126,35
S01009614,517,257,260,16,32,32,68,46,135,129,59
S01009615,376,197,179,17,19,16,39,50,106,73,56
S01009616,706,359,347,33,54,25,88,96,207,167,36
S01009617,733,388,345,26,66,56,72,78,213,167,55
S01009618,649,306,343,43,29,26,85,66,196,150,54
S01009619,575,291,284,33,34,26,73,67,139,129,74
S01009620,759,362,397,36,54,47,87,97,181,176,81
S01009621,744,367,377,39,41,43,98,60,184,206,73
S01009622,587,306,281,40,45,29,119,69,175,81,29
S01009623,434,192,242,18,29,26,56,49,107,100,49
S01009624,829,404,425,47,66,52,120,91,186,187,80
S01009625,814,372,442,48,85,58,149,90,223,119,42
S01009626,591,278,313,40,92,67,87,63,133,68,41
S01009627,799,391,408,43,76,64,125,102,215,116,58
S01009628,523,228,295,17,34,19,50,27,96,131,149
S01009629,1014,495,519,49,97,94,161,130,282,131,70
S01009630,710,319,391,49,63,50,124,72,197,115,40
S01009631,641,360,281,22,36,39,68,94,204,134,44
S01009632,552,288,264,40,53,30,68,88,130,83,60
S01009633,737,376,361,68,101,85,106,75,179,87,36
S01009634,524,253,271,21,32,12,68,61,111,93,126
S01009635,827,380,447,41,53,49,113,69,227,198,77
S01009636,851,422,429,53,74,37,171,97,218,152,49
S01009637,692,324,368,26,43,47,85,65,198,130,98
S01009638,1086,545,541,93,167,119,148,141,239,131,48
S01009639,831,388,443,19,47,48,89,63,208,188,169
S01009640,568,301,267,32,19,17,88,67,162,107,76
S01009641,742,329,413,17,42,22,83,77,194,160,147
S01009642,863,429,434,35,45,42,130,119,233,180,79
S01009643,1114,524,590,103,119,84,134,201,321,115,37
S01009644,823,381,442,41,66,56,108,116,227,138,71
S01009645,616,285,331,23,44,42,82,67,171,115,72
S01009646,567,245,322,46,82,33,60,73,135,76,62
S01009647,588,305,283,40,53,28,93,64,138,91,81
S01009648,858,403,455,64,79,60,141,88,238,106,82
