health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00096156,95,56,29,8,1,1
S00096157,113,72,24,11,4,2
S00096158,137,98,26,7,4,2
S00096159,190,114,61,13,1,1
S00096160,193,143,36,8,6,0
S00096161,122,104,18,0,0,0
S00096162,831,329,290,158,42,12
S00096163,84,34,32,11,6,1
S00096164,87,23,34,25,5,0
S00096165,190,131,37,19,2,1
S00096166,123,78,34,6,4,1
S00096167,196,122,57,14,2,1
S00096168,124,91,26,6,0,1
S00096169,205,144,52,9,0,0
S00096170,140,65,52,18,3,2
S00096171,115,66,36,6,5,2
S00096172,150,110,33,4,3,0
S00096173,128,62,35,19,6,6
S00096174,76,52,18,3,3,0
S00096175,82,51,26,5,0,0
S00096176,179,125,45,7,2,0
S00096177,153,92,42,11,7,1
S00096178,71,38,27,4,2,0
S00096179,87,20,28,31,4,4
S00096180,136,47,52,27,8,2
S00096181,63,22,31,6,3,1
S00096182,93,34,27,21,8,3
S00096183,99,34,38,17,8,2
S00096184,108,36,33,24,13,2
S00096185,80,22,29,23,4,2
S00096186,85,38,27,11,5,4
S00096187,55,21,20,12,2,0
S00096188,86,43,26,7,9,1
S00096189,161,66,50,38,5,2
S00096190,136,55,45,20,12,4
S00096191,52,19,12,13,5,3
S00096192,93,39,31,17,4,2
S00096193,124,59,39,20,5,1
S00096194,200,124,60,12,1,3
S00096195,139,66,49,14,7,3
S00096196,157,98,43,12,3,1
S00096197,120,78,35,4,3,0
S00096198,156,77,53,18,6,2
S00096199,131,54,49,16,11,1
S00096200,70,38,21,8,3,0
S00096201,117,50,49,14,2,2
S00096202,84,27,28,17,9,3
S00096203,142,72,44,15,11,0
S00096204,186,110,55,17,3,1
S00096205,96,25,39,16,10,6
S00096206,61,32,18,9,0,2
S00096207,139,71,34,22,12,0
S00096208,141,86,42,11,2,0
S00096209,161,94,49,12,5,1
S00096210,147,96,38,11,2,0
S00096211,114,74,28,9,2,1
S00096212,131,99,22,7,2,1
S00096213,132,79,32,12,8,1
S00096214,91,62,20,7,2,0
S00096215,160,110,35,11,3,1
S00096216,180,98,64,13,3,2
S00096217,88,56,28,1,2,1
S00096218,163,83,62,13,3,2
S00096219,128,76,38,9,4,1
S00096220,50,5,12,24,6,3
S00096221,142,37,53,38,13,1
S00096222,152,57,44,31,15,5
S00096223,95,44,30,13,8,0
S00096224,140,85,36,13,6,0
S00096225,128,58,47,13,8,2
S00096226,164,89,49,18,5,3
S00096227,53,24,12,12,3,2
S00096228,133,81,36,9,7,0
S00096229,92,45,33,12,2,0
S00096230,139,60,43,25,6,5
S00096231,74,47,21,5,1,0
S00096232,148,65,47,28,6,2
S00096233,65,23,31,8,3,0
S00096234,133,60,39,23,8,3
S00096235,123,72,37,7,6,1
S00096236,92,36,36,12,6,2
S00096237,69,31,32,4,2,0
S00096238,102,34,51,14,3,0
S00096239,67,35,21,9,2,0
S00096240,75,36,23,14,2,0
S00096241,105,52,34,14,5,0
S00096242,175,118,50,6,1,0
S00096243,136,43,35,46,10,2
S00096244,61,28,18,9,5,1
S00096245,187,113,60,12,2,0
S00096246,193,124,53,14,1,1
S00096247,95,63,22,10,0,0
