rel..oa_id,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00001603,208,130,0,0,0,0,0,2,56,20
W00001604,340,215,1,0,1,0,1,2,104,16
W00001605,542,348,0,0,0,0,0,2,152,40
W00001608,172,104,0,0,0,0,0,0,56,12
W00001609,327,234,1,0,0,0,0,1,68,23
W00001610,258,185,0,0,0,2,0,0,48,23
W00001611,269,197,2,0,0,0,0,1,50,19
W00001612,347,230,0,0,0,2,0,1,82,32
W00001613,335,239,1,0,0,0,0,4,69,22
W00001614,306,222,0,0,0,0,0,1,52,31
W00001615,300,202,0,0,1,0,0,1,72,24
W00001616,228,158,0,0,0,0,0,0,55,15
W00001617,517,365,1,3,2,0,0,2,120,24
W00001618,185,143,0,0,0,0,0,0,33,9
W00001619,326,246,0,4,0,1,0,1,52,22
W00001620,233,176,0,0,0,1,0,1,49,6
W00001621,223,155,2,0,0,0,0,0,48,18
W00001622,247,192,0,0,0,0,0,1,30,24
W00001623,156,121,0,0,0,0,0,0,29,6
W00001624,368,267,4,0,0,0,0,0,75,22
W00001625,358,278,0,0,0,1,0,2,68,9
W00001626,323,238,0,4,0,0,0,1,59,21
W00001627,320,245,0,0,0,0,0,0,59,16
W00001628,328,223,0,0,0,0,0,1,77,27
W00001629,423,217,0,0,0,6,0,0,162,38
W00001630,251,177,0,0,0,2,0,3,48,21
W00001631,262,181,1,0,0,3,0,0,60,17
W00001632,229,112,0,1,0,1,1,0,100,14
W00001633,276,170,0,0,0,8,0,0,75,23
W00001634,341,172,0,0,1,0,0,1,133,34
W00001635,206,154,1,0,0,3,0,1,30,17
W00001636,295,193,0,0,1,0,0,0,78,23
W00001637,298,196,1,0,0,0,0,0,64,37
W00001638,269,171,0,0,0,2,0,1,67,28
W00001639,279,157,0,0,0,2,0,1,94,25
W00001640,265,188,2,0,0,0,0,0,54,21
W00001641,352,221,1,0,0,2,1,0,98,29
W00001642,295,172,0,0,0,8,4,1,75,35
W00001643,385,289,0,0,0,0,4,1,62,29
W00001644,344,235,1,0,0,1,0,0,94,13
W00001645,316,157,0,0,0,0,0,1,133,25
W00001646,290,187,1,0,0,0,0,2,82,18
W00001647,362,264,2,0,0,0,0,0,68,28
W00001648,407,254,2,0,0,2,0,1,107,41
