ethn..geo_code,ethn..total_persons,ethn..ethnic_group_white,ethn..ethnic_group_chinese,ethn..ethnic_group_irish_traveller,ethn..ethnic_group_indian,ethn..ethnic_group_pakistani,ethn..ethnic_group_bangladeshi,ethn..ethnic_group_other_asian,ethn..ethnic_group_black_caribbean,ethn..ethnic_group_black_african,ethn..ethnic_group_black_other,ethn..ethnic_group_mixed,ethn..ethnic_group_other,ethn..white_or_white_british_or_white_irish,ethn..black_or_black_british_or_black_irish,ethn..asian_or_asian_british_or_asian_irish,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
N00001735,268,268,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0
N00001736,352,350,0,0,1,0,0,0,0,0,0,1,0,350,0,1,1,0
N00001737,352,349,0,0,0,0,0,1,0,0,1,1,0,349,1,1,1,0
N00001738,317,315,1,0,0,0,0,0,0,0,0,0,1,315,0,1,0,1
N00001739,352,342,0,0,1,0,0,5,0,2,0,2,0,342,2,6,2,0
N00001740,694,681,0,0,11,0,0,0,0,0,0,2,0,681,0,11,2,0
N00001741,284,273,0,0,6,0,0,0,0,0,0,4,1,273,0,6,4,1
N00001742,229,225,0,0,3,0,0,1,0,0,0,0,0,225,0,4,0,0
N00001743,283,274,1,0,4,0,0,1,0,0,0,3,0,274,0,6,3,0
N00001744,325,325,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0
N00001745,336,334,1,1,0,0,0,0,0,0,0,0,0,335,0,1,0,0
N00001746,295,291,1,0,0,0,0,0,0,0,0,3,0,291,0,1,3,0
N00001747,742,734,0,0,1,2,0,0,0,1,0,4,0,734,1,3,4,0
N00001748,456,456,0,0,0,0,0,0,0,0,0,0,0,456,0,0,0,0
N00001749,325,325,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0
N00001750,256,246,1,0,3,0,0,0,1,0,0,5,0,246,1,4,5,0
N00001751,318,306,1,0,1,0,0,5,0,2,1,1,1,306,3,7,1,1
