pop..soa_code,pop..total_persons,pop..males,pop..females,pop..x0_15_years,pop..x16_39_years,pop..x40_64_years,pop..x65_years
95NN03S1,1287,617,672,245,345,434,263
95NN03S2,1624,750,874,316,400,551,357
95NN04W1,3046,1517,1530,801,1059,871,315
95NN05W1,2602,1229,1373,554,809,762,477
95NN06S1,1152,586,566,265,342,362,183
95NN06S2,2481,1212,1268,582,728,788,383
95NN07S1,1607,773,834,355,529,538,185
95NN07S2,1615,800,815,404,509,453,249
95NN08S1,1471,745,727,260,383,539,289
95NN08S2,1952,952,1001,454,554,623,321
95NN09S1,1787,897,889,333,509,659,286
95NN09S2,1428,685,743,264,339,446,379
95NN10S1,1480,720,759,186,297,469,528
95NN10S2,1565,760,806,324,406,523,312
95NN11S1,1821,898,922,438,576,579,228
95NN11S2,2308,1150,1157,511,676,812,309
95NN12W1,2917,1450,1468,655,783,974,505
95NN13W1,3211,1607,1604,638,818,1092,663
95NN14S1,1803,840,964,398,531,562,312
95NN14S2,1255,632,623,284,358,413,200
95NN15W1,3100,1506,1595,556,947,1030,567
95NN16S1,1666,793,874,290,376,573,427
95NN16S2,1644,838,805,295,412,605,332
95NN17W1,2540,1195,1345,579,766,741,454
95NN18S1,1436,704,732,315,460,419,242
95NN18S2,1609,751,859,306,444,534,325
95NN19S1,1629,763,866,308,456,561,304
95NN19S2,1927,955,971,379,508,654,386
95NN20W1,3253,1681,1572,663,911,1123,556
95NN21W1,2873,1366,1506,536,763,949,625
95NN22W1,2933,1487,1445,623,752,985,573
95NN23S1,1820,925,895,460,594,541,225
95NN23S2,1988,977,1012,390,509,659,430
95OO01W1,2858,1470,1388,728,790,888,452
95OO02W1,2401,1232,1170,587,689,774,351
95OO03W1,2989,1481,1508,700,921,927,441
95OO04W1,2758,1372,1385,704,844,832,378
95OO05W1,3093,1517,1575,842,1079,826,346
95OO06W1,3098,1637,1462,752,939,987,420
95OO07W1,2794,1431,1363,657,882,828,427
95OO08W1,2980,1533,1447,730,854,944,452
95OO09W1,2369,1195,1174,555,696,702,416
95OO10W1,3722,1850,1873,930,1213,1074,505
95OO11W1,2776,1372,1404,719,892,833,332
95OO12W1,3146,1553,1593,846,927,936,437
95OO13W1,3225,1611,1614,756,1128,960,381
95OO14W1,2677,1354,1322,613,763,887,414
95OO15W1,2619,1309,1309,668,923,736,292
95OO16W1,2304,1156,1147,438,709,749,408
95OO17W1,3094,1573,1520,747,942,951,454
95OO18W1,3223,1601,1622,760,1028,1004,431
95OO19W1,3324,1634,1691,826,1010,1063,425
95OO20W1,2176,1104,1071,444,634,708,390
95OO21W1,2608,1332,1277,545,874,795,394
95OO22W1,3327,1684,1644,778,1068,1078,403
95PP01W1,2593,1309,1284,533,687,909,464
95PP02W1,2761,1425,1337,533,733,920,575
95PP03W1,2654,1362,1292,550,716,861,527
95PP04W1,3544,1812,1732,758,1012,1200,574
95PP05W1,2645,1362,1283,574,730,819,522
95PP06S1,2044,965,1078,476,609,691,268
95PP06S2,1874,904,970,346,468,662,398
95PP07W1,2901,1456,1445,594,723,983,601
95PP08W1,2923,1507,1416,663,861,884,515
95PP09W1,1637,812,825,331,473,492,341
95PP10W1,2447,1253,1195,542,646,839,420
95PP11W1,2477,1225,1251,497,690,819,471
95PP12W1,2889,1450,1440,675,770,881,563
95PP13W1,2571,1249,1321,595,754,800,422
95PP14S1,1624,815,810,361,470,538,255
95PP14S2,2280,1172,1109,454,612,764,450
95PP15W1,3091,1529,1561,692,858,1043,498
95PP16W1,2095,1067,1028,337,472,747,539
95PP17W1,2612,1268,1343,622,742,764,484
95PP18W1,3223,1612,1611,691,941,1090,501
95PP19W1,2565,1313,1253,628,677,831,429
95PP20W1,3202,1621,1580,658,980,985,579
95PP21W1,2166,1111,1054,496,599,686,385
95PP22W1,2543,1237,1306,494,677,815,557
