house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
N00000394,141,11,10,53,42,3,17,5
N00000395,142,14,16,46,44,0,17,5
N00000396,134,10,12,59,34,6,11,2
N00000397,189,14,26,65,50,7,21,6
N00000398,165,16,15,70,43,5,13,3
N00000399,130,15,27,41,20,12,13,2
N00000400,112,17,24,31,10,16,13,1
N00000401,117,13,25,41,16,11,8,3
N00000402,123,15,37,32,11,8,18,2
N00000403,208,32,40,46,43,27,16,4
N00000404,121,16,27,35,21,5,16,1
N00000405,105,19,25,22,8,16,13,2
N00000406,121,7,8,41,44,7,11,3
N00000407,344,28,41,86,126,25,27,11
N00000408,146,11,15,43,51,8,13,5
N00000409,143,16,24,47,35,8,8,5
N00000410,136,14,11,58,39,5,9,0
N00000411,128,11,27,31,36,8,11,4
N00000412,138,11,14,57,36,7,9,4
N00000413,131,10,10,43,41,7,13,7
N00000414,125,9,16,42,40,1,14,3
N00000415,162,14,27,47,43,12,16,3
N00000416,133,10,9,51,45,3,11,4
N00000417,187,6,26,58,68,17,9,3
N00000418,313,28,33,111,95,26,17,3
N00000419,139,22,14,59,29,5,9,1
N00000420,138,27,14,59,22,3,12,1
N00000421,185,14,15,63,67,13,11,2
N00000422,170,22,28,56,34,16,11,3
N00000423,152,13,9,56,53,5,11,5
N00000424,180,10,22,60,50,16,16,6
N00000425,121,12,11,37,43,4,13,1
N00000426,123,18,18,37,26,10,13,1
N00000427,133,15,22,36,33,14,10,3
N00000428,146,11,24,39,46,11,12,3
N00000429,152,19,9,38,60,7,13,6
N00000430,154,10,7,54,62,6,12,3
N00000431,137,25,15,34,44,11,7,1
N00000432,118,23,17,32,21,7,15,3
N00000433,141,33,36,32,16,17,6,1
N00000434,179,29,24,48,40,23,14,1
N00000435,173,21,31,41,41,21,13,5
N00000436,174,17,14,63,58,11,7,4
N00000437,195,14,13,56,78,11,15,8
N00000438,153,15,14,61,43,4,11,5
N00000439,134,15,8,42,47,5,14,3
N00000440,127,8,12,38,44,5,16,4
N00000441,121,13,23,41,28,6,9,1
N00000442,167,13,30,38,53,15,11,7
N00000443,164,15,12,57,49,15,11,5
N00000444,257,47,57,46,36,30,33,8
N00000445,141,11,8,65,42,8,6,1
N00000446,130,17,16,48,34,7,5,3
N00000447,117,19,16,43,23,2,13,1
N00000448,128,29,37,21,10,7,19,5
N00000449,146,23,8,49,51,1,12,2
N00000450,178,24,20,57,50,9,13,5
N00000451,189,16,30,46,53,18,23,3
N00000452,157,24,14,45,55,4,12,3
N00000453,149,23,36,38,25,15,10,2
N00000454,162,14,10,58,53,10,11,6
N00000455,111,15,22,29,29,8,6,2
N00000456,118,12,15,38,42,5,5,1
N00000457,126,7,16,42,46,10,4,1
N00000458,129,19,6,56,31,4,5,8
N00000459,247,20,36,90,68,18,12,3
N00000460,138,11,24,42,34,8,16,3
N00000461,157,14,26,48,50,6,9,4
N00000462,101,16,16,27,16,11,11,4
N00000463,343,29,83,102,63,29,31,6
N00000464,156,19,19,46,49,10,12,1
N00000465,129,11,27,34,27,16,11,3
N00000466,138,14,11,64,30,7,10,2
N00000467,131,23,23,44,21,9,10,1
N00000468,116,15,12,45,32,4,6,2
N00000469,154,8,13,61,48,14,7,3
N00000470,122,15,32,21,25,11,14,4
N00000471,126,14,22,39,18,15,18,0
N00000472,133,27,50,23,9,10,14,0
N00000473,108,20,32,29,8,7,12,0
N00000474,118,37,19,36,8,2,13,3
N00000475,116,26,29,16,19,13,11,2
N00000476,119,27,20,28,16,11,16,1
N00000477,283,29,28,127,76,10,11,2
N00000478,129,27,23,29,21,7,18,4
N00000479,117,16,4,69,18,2,7,1
N00000480,132,13,5,72,24,3,12,3
N00000481,175,26,25,71,27,7,15,4
N00000482,121,36,28,22,12,10,12,1
N00000483,115,16,6,54,19,6,12,2
N00000484,139,9,23,51,25,16,11,4
N00000485,108,17,20,32,18,8,12,1
N00000486,116,3,9,31,57,6,6,4
N00000487,113,8,21,44,29,5,5,1
N00000488,134,7,8,45,52,8,10,4
N00000489,107,7,14,36,35,7,8,0
N00000490,194,12,24,62,61,17,13,5
N00000491,166,9,14,42,79,10,7,5
N00000492,177,23,31,60,35,9,16,3
N00000493,140,23,16,60,28,4,8,1
N00000494,347,49,42,129,79,23,24,1
N00000495,136,17,10,69,20,4,14,2
N00000496,310,11,47,79,101,35,29,8
N00000497,328,24,36,104,77,42,32,13
N00000498,128,18,12,58,27,2,10,1
N00000499,129,15,14,49,17,8,25,1
N00000500,249,66,43,59,27,28,20,6
N00000501,151,22,40,37,17,19,14,2
N00000502,89,11,22,9,13,22,11,1
N00000503,133,6,21,16,37,29,16,8
N00000504,108,7,36,18,10,24,11,2
N00000505,94,9,22,22,9,19,12,1
N00000506,113,5,19,44,24,8,10,3
N00000507,114,15,24,21,15,26,11,2
N00000508,129,16,14,45,30,9,14,1
N00000509,127,4,20,34,24,27,14,4
N00000510,108,2,24,16,18,34,9,5
N00000511,157,14,12,69,34,9,16,3
N00000512,174,27,13,88,31,4,7,4
N00000513,131,18,14,47,35,5,10,2
N00000514,141,12,12,70,28,6,9,4
N00000515,124,15,9,48,31,5,11,5
N00000516,92,12,9,45,13,5,7,1
N00000517,125,11,9,63,30,0,10,2
N00000518,119,12,11,54,25,5,8,4
N00000519,118,13,19,51,20,3,9,3
N00000520,269,40,35,91,48,22,27,6
N00000521,183,34,22,64,37,15,9,2
N00000522,181,20,24,56,44,16,19,2
N00000523,154,20,22,51,42,5,9,5
N00000524,177,14,15,67,58,11,9,3
N00000525,211,55,41,52,32,16,15,0
N00000526,117,15,28,19,12,9,30,4
N00000527,133,4,30,29,24,17,25,4
N00000528,111,16,35,27,7,9,14,3
N00000529,135,36,38,24,8,8,20,1
N00000530,130,21,23,34,13,10,24,5
N00000531,151,27,47,25,20,10,18,4
N00000532,105,12,36,19,11,8,14,5
